state,spkts,dpkts,dbytes,id,service,proto,sbytes,dur,rate,flow_id
2,25.0,23.0,2310.0,38578.0,443.0,17.0,2288.0,28.303380966186523,162.45409004292236,172.224.53.6:443-192.168.1.123:60760-17
0,29.0,29.0,1566.0,69482.0,443.0,6.0,1914.0,28.601802825927734,121.67065206272088,172.64.155.69:443-192.168.1.123:51765-6
2,2.0,2.0,172.0,23012.0,443.0,6.0,175.0,0.03906726837158203,8882.115757353838,192.168.1.123:51615-35.186.224.41:443-6
2,1.0,0.0,0.0,21261.0,9999.0,17.0,100.0,0.001,100000.0,192.168.1.49:55855-255.255.255.255:9999-17
2,1.0,0.0,0.0,8226.0,57621.0,17.0,86.0,0.001,86000.0,192.168.1.123:57621-192.168.1.255:57621-17
2,1.0,0.0,0.0,1865.0,56700.0,17.0,78.0,0.001,78000.0,192.168.1.49:56700-255.255.255.255:56700-17
2,3.0,3.0,222.0,76459.0,51566.0,6.0,186.0,0.10263514518737793,3975.2464836009785,17.253.77.203:80-192.168.1.123:51566-6
2,2.0,2.0,483.0,7701.0,51755.0,6.0,547.0,0.011123895645141602,92593.46121696637,104.17.107.108:443-192.168.1.123:51755-6
2,4.0,0.0,0.0,42509.0,1900.0,17.0,852.0,3.002821207046509,283.7331766542316,192.168.1.123:56570-239.255.255.250:1900-17
2,0.0,4.0,1548.0,57130.0,56570.0,17.0,0.0,0.2004251480102539,7723.581673098243,192.168.1.123:56570-192.168.1.49:50995-17
2,0.0,4.0,1516.0,63159.0,56570.0,17.0,0.0,2.996997833251953,505.8395382138243,192.168.1.123:56570-192.168.1.62:1900-17
2,1.0,1.0,66.0,89845.0,49232.0,6.0,77.0,0.0002510547637939453,569596.8395061728,104.199.65.9:4070-192.168.1.123:49232-6
2,2.0,2.0,160.0,1840.0,443.0,6.0,164.0,0.039999961853027344,8100.00772476933,192.168.1.123:51534-35.186.224.41:443-6
2,0.0,4.0,1548.0,69494.0,56570.0,17.0,0.0,0.20073890686035156,7711.509563399686,192.168.1.123:56570-192.168.1.49:38878-17
2,0.0,4.0,1548.0,42116.0,56570.0,17.0,0.0,0.2009279727935791,7704.2533126550725,192.168.1.123:56570-192.168.1.49:35864-17
2,0.0,4.0,1548.0,97524.0,56570.0,17.0,0.0,0.20073604583740234,7711.619472936571,192.168.1.123:56570-192.168.1.49:48221-17
